Data,Est.class,Peak,AR,Dimming
2011-3-6,C4,14:32,AR1166,30
2011-3-6,C5,14:46,AR1164,21
2011-3-6,C5,15:30,AR1166,6
2011-3-6,C1,16:00,AR1165,10
2011-3-6,C4,16:32,AR1164,24
2011-3-6,C4,17:14,AR1165,33
2011-3-6,C2,18:06,AR1164,16
2011-3-6,C1,18:26,AR1165,19
2011-3-6,C1,19:38,AR1164,8
2011-3-6,C3,02:20,AR1165,146
2011-3-7,C4,04:44,AR1165,24
2011-3-7,C7,05:16,AR1164,22
2011-3-7,C2,06:44,AR1164,13
2011-3-7,C4,07:28,AR1165,44
2011-3-7,C9,07:56,AR1165,30
2011-3-7,C8,08:06,AR1164,12
2011-3-7,C4,08:36,AR1164,22
2011-3-7,C9,09:22,AR1164,30
2011-3-7,C1,09:56,AR1165,17
2011-3-7,C2,10:22,AR1164,8
2011-3-7,C3,11:16,AR1165,38
2011-3-7,C1,12:20,AR1166,8
2011-3-7,C1,13:24,AR1165,53
2011-3-7,C3,14:08,AR1164,18
2011-3-7,M2,14:46,AR1166,73
2011-3-7,C4,15:14,AR1165,30
2011-3-7,C3,16:14,AR1165,28
2011-3-7,C1,18:34,AR1164,9
2011-3-7,C5,18:44,AR1165,130
2011-3-7,M4,20:20,AR1164,113
2011-3-7,C4,21:54,AR1165,51
2011-3-7,C2,22:24,AR1166,15
2011-3-8,C2,00:24,AR1165,25
2011-3-8,C1,02:06,AR1166,15
2011-3-8,C3,02:34,AR1165,13
2011-3-8,M2,04:06,,66
2011-3-8,C2,05:16,,25
2011-3-8,C4,06:08,,6
2011-3-8,C1,07:00,AR1169,17
2011-3-8,C2,07:34,,94
2011-3-8,C4,09:36,,6
2011-3-8,M4,11:30,,86
2011-3-8,C2,15:06,,98
2011-3-8,C3,19:00,AR1164,10
2011-3-8,M3,20:38,,161
2011-3-8,C1,21:44,AR1166,7
2011-3-8,C2,22:28,AR1164,9
2011-3-8,C3,23:20,AR1166,10
2011-3-8,C4,23:40,,33
2011-3-9,C2,01:32,AR1166,13
2011-3-9,C4,02:06,AR1164,20
2011-3-9,C4,02:56,AR1170,57
2011-3-9,C1,04:04,AR1166,26
2011-3-9,C7,05:36,,165
2011-3-9,C5,07:04,AR1166,29
2011-3-9,C4,07:34,AR1166,12
2011-3-9,C1,08:58,AR1166,22
2011-3-9,C6,08:58,AR1166,30
2011-3-9,C2,10:42,AR1166,5
2011-3-9,C6,10:48,,46
2011-3-9,C5,11:02,AR1166,27
2011-3-9,C9,11:34,,69
2011-3-9,C4,13:54,,41
2011-3-9,C3,14:06,AR1169,12
2011-3-9,M2,14:10,AR1166,52
2011-3-9,C1,15:48,AR1166,8
2011-3-9,C1,16:52,AR1166,24
2011-3-9,C1,18:24,AR1166,15
2011-3-9,C2,19:08,AR1166,5
2011-3-9,C5,21:24,AR1169,20
2011-3-9,C1,21:44,AR1170,12
2011-3-9,M1,22:14,AR1166,16
2011-3-9,X2,23:28,AR1166,48
2011-3-10,C3,04:00,AR1166,43
2011-3-10,C1,04:16,,8
2011-3-10,C2,06:18,AR1166,10
2011-3-10,C3,06:44,AR1166,6
2011-3-10,C3,07:04,AR1169,21
2011-3-10,C5,07:14,AR1166,16
2011-3-10,C2,07:28,,8
2011-3-10,C2,07:40,AR1166,7
2011-3-10,C2,09:24,,27
2011-3-10,C2,13:36,,25
2011-3-10,C5,13:50,AR1166,15
2011-3-10,C3,19:20,,18
2011-3-10,C7,23:06,,41
2011-3-11,C2,02:32,AR1166,8
2011-3-11,C4,04:40,AR1166,19
2011-3-11,C1,06:04,AR1166,5
2011-3-11,C2,11:48,AR1166,23
2011-3-12,M2,04:44,AR1166,11
2011-3-12,C1,04:50,AR1169,8
2011-3-12,C1,10:30,AR1169,5
2011-3-12,C7,13:06,AR1166,37
2011-3-12,M2,15:32,AR1166,12
2011-3-12,C2,16:40,AR1172,11
2011-3-12,C1,22:54,AR1166,7
2011-3-13,C7,13:34,AR1166,10
2011-3-13,M1,14:44,AR1166,8
2011-3-13,C2,22:08,AR1169,16
2011-3-14,C4,00:30,AR1166,18
2011-3-14,C1,08:22,AR1169,9
2011-3-14,C2,16:16,AR1169,12
2011-3-14,C2,19:48,AR1166,13
2011-3-14,M4,19:54,AR1169,40
2011-3-14,C4,23:50,AR1169,22
2011-3-15,M2,00:24,AR1169,3
2011-3-15,C2,05:24,,13
2011-3-15,C1,09:50,AR1169,41
2011-3-15,C3,17:38,AR1169,11
2011-3-21,C4,17:32,,78
2011-3-22,C1,03:28,,5
2011-3-22,C4,03:40,AR1176,6
2011-3-22,C1,04:40,,18
2011-3-22,C4,15:54,,22
2011-3-23,M2,02:22,AR1176,19
2011-3-24,M2,12:10,AR1176,6
2011-3-24,C1,15:40,AR1176,8
2011-3-24,M2,17:10,AR1176,6
2011-3-24,C1,19:12,AR1176,12
2011-3-25,M1,23:28,AR1176,15
2011-3-27,C5,00:18,AR1176,8
2011-3-27,C1,17:04,AR1176,2
2011-3-30,C2,20:10,AR1183,20
